File #,Full Name,PID,Email,Major
58,First14 M14 Last14,A0000014,first14last14@ucsd.edu,Economics
59,First16 M16 Last16,A0000016,first16last16@ucsd.edu,Computer Science
60,First17 Last17,A0000017,first17last17@ucsd.edu,Mathematics
61,First19 Last19,A0000019,first19last19@ucsd.edu,Biology
62,First23 Last23,A0000023,first23last23@ucsd.edu,Biology
63,First24 M24 Last24,A0000024,first24last24@ucsd.edu,Mathematics
64,First25 Last25,A0000025,first25last25@ucsd.edu,Computer Science
65,First26 M26 Last26,A0000026,first26last26@ucsd.edu,Biology
66,First28 M28 Last28,A0000028,first28last28@ucsd.edu,Physics
67,First29 Last29,A0000029,first29last29@ucsd.edu,Economics
68,First32 M32 Last32,A0000032,first32last32@ucsd.edu,Computer Science
69,First33 Last33,A0000033,first33last33@ucsd.edu,Psychology
70,First34 M34 Last34,A0000034,first34last34@ucsd.edu,Physics
71,First37 Last37,A0000037,first37last37@ucsd.edu,Physics
72,First40 M40 Last40,A0000040,first40last40@ucsd.edu,Psychology
73,First43 Last43,A0000043,first43last43@ucsd.edu,Physics
74,First45 Last45,A0000045,first45last45@ucsd.edu,Economics
75,First50 M50 Last50,A0000050,first50last50@ucsd.edu,Mathematics
76,First52 M52 Last52,A0000052,first52last52@ucsd.edu,Physics
77,First53 Last53,A0000053,first53last53@ucsd.edu,Physics
78,First54 M54 Last54,A0000054,first54last54@ucsd.edu,Biology
79,First57 Last57,A0000057,first57last57@ucsd.edu,Physics
80,First61 Last61,A0000061,first61last61@ucsd.edu,Computer Science
81,First62 M62 Last62,A0000062,first62last62@ucsd.edu,Economics
82,First65 Last65,A0000065,first65last65@ucsd.edu,Psychology
83,First69 Last69,A0000069,first69last69@ucsd.edu,Physics
84,First71 Last71,A0000071,first71last71@ucsd.edu,Psychology
85,First74 M74 Last74,A0000074,first74last74@ucsd.edu,Economics
86,First76 M76 Last76,A0000076,first76last76@ucsd.edu,Physics
87,First78 M78 Last78,A0000078,first78last78@ucsd.edu,Physics
88,First81 Last81,A0000081,first81last81@ucsd.edu,Computer Science
89,First82 M82 Last82,A0000082,first82last82@ucsd.edu,Psychology
90,First83 Last83,A0000083,first83last83@ucsd.edu,Physics
91,First84 M84 Last84,A0000084,first84last84@ucsd.edu,Computer Science
92,First85 Last85,A0000085,first85last85@ucsd.edu,Physics
93,First86 M86 Last86,A0000086,first86last86@ucsd.edu,Biology
94,First89 Last89,A0000089,first89last89@ucsd.edu,Biology
95,First90 M90 Last90,A0000090,first90last90@ucsd.edu,Psychology
96,First91 Last91,A0000091,first91last91@ucsd.edu,Economics
97,First95 Last95,A0000095,first95last95@ucsd.edu,Psychology
98,First96 M96 Last96,A0000096,first96last96@ucsd.edu,Mathematics
99,First98 M98 Last98,A0000098,first98last98@ucsd.edu,Mathematics
100,First99 Last99,A0000099,first99last99@ucsd.edu,Biology
